Xpath,Type
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine1Txt,StreetAddressType
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/AddressLine2,StreetAddressType
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/City,CityType
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/CityNm,CityType
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/State,StateType
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/StateAbbreviationCd,StateType
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/ZIPCd,ZIPCodeType
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/ZIPCode,ZIPCodeType
/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/AddressLine1,StreetAddressType
/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/AddressLine2,StreetAddressType
/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/City,CityType
/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/State,StateType
/Return/ReturnData/AffiliateListing/Affiliate/AddressUS/ZIPCode,ZIPCodeType
/Return/ReturnData/AffiliateListing/Affiliate/EIN,EINType
/Return/ReturnData/AffiliateListing/Affiliate/Name/BusinessNameLine1,BusinessNameLine1Type
/Return/ReturnData/AffiliateListing/Affiliate/Name/BusinessNameLine2,BusinessNameLine2Type
/Return/ReturnData/AffiliateListing/Affiliate/NameControl,BusinessNameControlType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine1,BusinessNameLine1Type
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine1Txt,BusinessNameLine1Type
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine2,BusinessNameLine2Type
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine2Txt,BusinessNameLine2Type
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessNameControlTxt,BusinessNameControlType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/EIN,EINType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine1,StreetAddressType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine1Txt,StreetAddressType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine2,StreetAddressType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine2Txt,StreetAddressType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/City,CityType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/CityNm,CityType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/State,StateType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/StateAbbreviationCd,StateType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/ZIPCd,ZIPCodeType
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/ZIPCode,ZIPCodeType
/Return/ReturnData/AveragingAttachment/Explanation,ExplanationType
/Return/ReturnData/AveragingAttachment/ExplanationTxt,ExplanationType
/Return/ReturnData/CompensationExplanation/Compensation/BusinessName/BusinessNameLine1,BusinessNameLine1Type
/Return/ReturnData/CompensationExplanation/Compensation/BusinessName/BusinessNameLine2,BusinessNameLine2Type
/Return/ReturnData/CompensationExplanation/Compensation/Explanation,ShortExplanationType
/Return/ReturnData/CompensationExplanation/Compensation/PersonName,PersonNameType
/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/BusinessName/BusinessNameLine1,BusinessNameLine1Type
/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/BusinessName/BusinessNameLine1Txt,BusinessNameLine1Type
/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/BusinessName/BusinessNameLine2,BusinessNameLine2Type
/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/PersonNm,PersonNameType
/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/ShortExplanationTxt,ShortExplanationType
/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanation/EmployeeName,PersonNameType
/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanation/Explanation,ExplanationType
/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanationGrp/EmployeeNm,PersonNameType
/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanationGrp/ExplanationTxt,ExplanationType
/Return/ReturnData/IRS990/AccountantCompileOrReview,BooleanType
/Return/ReturnData/IRS990/AccountantCompileOrReviewInd,BooleanType
/Return/ReturnData/IRS990/AccountingFees/Fundraising,USAmountNNType
/Return/ReturnData/IRS990/AccountingFees/ManagementAndGeneral,USAmountNNType
/Return/ReturnData/IRS990/AccountingFees/ProgramServices,USAmountNNType
/Return/ReturnData/IRS990/AccountingFees/Total,USAmountNNType
/Return/ReturnData/IRS990/AccountsPayableAccrExpnssGrp/BOYAmt,USAmountType
/Return/ReturnData/IRS990/AccountsPayableAccrExpnssGrp/EOYAmt,USAmountType
/Return/ReturnData/IRS990/AccountsPayableAccruedExpenses/BOY,USAmountType
/Return/ReturnData/IRS990/AccountsPayableAccruedExpenses/EOY,USAmountType
/Return/ReturnData/IRS990/AccountsReceivable/BOY,USAmountType
/Return/ReturnData/IRS990/AccountsReceivable/EOY,USAmountType
/Return/ReturnData/IRS990/AccountsReceivableGrp/BOYAmt,USAmountType
/Return/ReturnData/IRS990/AccountsReceivableGrp/EOYAmt,USAmountType
/Return/ReturnData/IRS990/AccountsReceivableNet/BOY,USAmountType
/Return/ReturnData/IRS990/AccountsReceivableNet/EOY,USAmountType
/Return/ReturnData/IRS990/AcctCompileOrReviewBasisGrp/ConsolAndSepBasisFinclStmtInd,CheckboxType
/Return/ReturnData/IRS990/AcctCompileOrReviewBasisGrp/ConsolidatedBasisFinclStmtInd,CheckboxType
/Return/ReturnData/IRS990/AcctCompileOrReviewBasisGrp/SeparateBasisFinclStmtInd,CheckboxType
/Return/ReturnData/IRS990/ActivitiesConductedPartnership,BooleanType
/Return/ReturnData/IRS990/ActivitiesConductedPrtshpInd,BooleanType
/Return/ReturnData/IRS990/ActivitiesNotPreviouslyRpt,BooleanType
/Return/ReturnData/IRS990/Activity2/ActivityCode,IntegerNNType
/Return/ReturnData/IRS990/Activity2/Description,ExplanationType
/Return/ReturnData/IRS990/Activity2/Expense,USAmountType
/Return/ReturnData/IRS990/Activity2/Grants,USAmountType
/Return/ReturnData/IRS990/Activity2/Revenue,USAmountType
/Return/ReturnData/IRS990/Activity3/ActivityCode,IntegerNNType
/Return/ReturnData/IRS990/Activity3/Description,ExplanationType
/Return/ReturnData/IRS990/Activity3/Expense,USAmountType
/Return/ReturnData/IRS990/Activity3/Grants,USAmountType
/Return/ReturnData/IRS990/Activity3/Revenue,USAmountType
/Return/ReturnData/IRS990/ActivityCd,IntegerNNType
/Return/ReturnData/IRS990/ActivityCode,IntegerNNType
/Return/ReturnData/IRS990/ActivityOrMissionDesc,ShortExplanationType
/Return/ReturnData/IRS990/ActivityOrMissionDescription,ShortExplanationType
/Return/ReturnData/IRS990/ActivityOther/Description,ExplanationType
/Return/ReturnData/IRS990/ActivityOther/Expense,USAmountType
/Return/ReturnData/IRS990/ActivityOther/Grants,USAmountType
/Return/ReturnData/IRS990/ActivityOther/Revenue,USAmountType
/Return/ReturnData/IRS990/AddressChange,CheckboxType
/Return/ReturnData/IRS990/AddressChangeInd,CheckboxType
/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/AddressLine1,StreetAddressType
/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/AddressLine2,StreetAddressType
/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/City,TextType
/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/Country,CountryType
/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/PostalCode,TextType
/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/ProvinceOrState,TextType
/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/AddressLine1,StreetAddressType
/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/AddressLine2,StreetAddressType
/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/City,CityType
/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/State,StateType
/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/ZIPCode,ZIPCodeType
/Return/ReturnData/IRS990/Advertising/Fundraising,USAmountType
/Return/ReturnData/IRS990/Advertising/ManagementAndGeneral,USAmountType
/Return/ReturnData/IRS990/Advertising/ProgramServices,USAmountType
/Return/ReturnData/IRS990/Advertising/Total,USAmountType
/Return/ReturnData/IRS990/AdvertisingGrp/FundraisingAmt,USAmountType
/Return/ReturnData/IRS990/AdvertisingGrp/ManagementAndGeneralAmt,USAmountType
/Return/ReturnData/IRS990/AdvertisingGrp/ProgramServicesAmt,USAmountType
/Return/ReturnData/IRS990/AdvertisingGrp/TotalAmt,USAmountType
/Return/ReturnData/IRS990/AggregateAmountOfJointCosts,USAmountNNType
/Return/ReturnData/IRS990/AggregateNondeductibleAmount,USAmountType
/Return/ReturnData/IRS990/AllAffiliatesIncluded,BooleanType
/Return/ReturnData/IRS990/AllAffiliatesIncludedInd,BooleanType
/Return/ReturnData/IRS990/AllOtherContributions,USAmountType
/Return/ReturnData/IRS990/AllOtherContributionsAmt,USAmountType
/Return/ReturnData/IRS990/AllOtherExpenses/Fundraising,USAmountType
/Return/ReturnData/IRS990/AllOtherExpenses/ManagementAndGeneral,USAmountType
/Return/ReturnData/IRS990/AllOtherExpenses/ProgramServices,USAmountType
/Return/ReturnData/IRS990/AllOtherExpenses/Total,USAmountType
/Return/ReturnData/IRS990/AllOtherExpensesGrp/FundraisingAmt,USAmountType
/Return/ReturnData/IRS990/AllOtherExpensesGrp/ManagementAndGeneralAmt,USAmountType
/Return/ReturnData/IRS990/AllOtherExpensesGrp/ProgramServicesAmt,USAmountType
/Return/ReturnData/IRS990/AllOtherExpensesGrp/TotalAmt,USAmountType
/Return/ReturnData/IRS990/AmendedReturn,CheckboxType
/Return/ReturnData/IRS990/AmendedReturnInd,CheckboxType
/Return/ReturnData/IRS990/AmountAllocatedToFundraising,USAmountNNType
/Return/ReturnData/IRS990/AmountAllocatedToManagementGen,USAmountNNType
/Return/ReturnData/IRS990/AmountAllocatedToProgramSrvc,USAmountNNType
/Return/ReturnData/IRS990/AmountOfTaxExemptInterest,USAmountType
/Return/ReturnData/IRS990/AmountOfTaxImposedOnOrgMgr,USAmountNNType
/Return/ReturnData/IRS990/AmountOfTaxReimbursedByOrg,USAmountNNType
/Return/ReturnData/IRS990/AmtReservesMaintained,USAmountType
/Return/ReturnData/IRS990/AnnualDisclosureCoveredPersons,BooleanType
/Return/ReturnData/IRS990/AnnualDisclosureCoveredPrsnInd,BooleanType
/Return/ReturnData/IRS990/ApplicableInsuranceContract,BooleanType
/Return/ReturnData/IRS990/ArAllowanceDoubtfulAccounts,USAmountNNType
/Return/ReturnData/IRS990/AreAnyRelated,BooleanType
/Return/ReturnData/IRS990/AuditCommittee,BooleanType
/Return/ReturnData/IRS990/AuditCommitteeInd,BooleanType
/Return/ReturnData/IRS990/AuditedFinancialStatements,BooleanType
/Return/ReturnData/IRS990/AuditedFinancialStmtAttInd,BooleanType
/Return/ReturnData/IRS990/BackupWthldComplianceInd,BooleanType
/Return/ReturnData/IRS990/BalanceSheetAmountsReported,BooleanType
/Return/ReturnData/IRS990/BenefitsPaidToMembersCY,USAmountType
/Return/ReturnData/IRS990/BenefitsPaidToMembersPriorYear,USAmountType
/Return/ReturnData/IRS990/BenefitsPaidToOrForMembers/ProgramServices,USAmountNNType
/Return/ReturnData/IRS990/BenefitsPaidToOrForMembers/Total,USAmountNNType
/Return/ReturnData/IRS990/BenefitsToMembers/ProgramServices,USAmountType
/Return/ReturnData/IRS990/BenefitsToMembers/Total,USAmountType
/Return/ReturnData/IRS990/BenefitsToMembersGrp/ProgramServicesAmt,USAmountType
/Return/ReturnData/IRS990/BenefitsToMembersGrp/TotalAmt,USAmountType
/Return/ReturnData/IRS990/BindingWrittenAgreement,BooleanType
/Return/ReturnData/IRS990/BooksInCareOfDetail/BusinessName/BusinessNameLine1,BusinessNameLine1Type
/Return/ReturnData/IRS990/BooksInCareOfDetail/BusinessName/BusinessNameLine1Txt,BusinessNameLine1Type
/Return/ReturnData/IRS990/BooksInCareOfDetail/BusinessName/BusinessNameLine2,BusinessNameLine2Type
/Return/ReturnData/IRS990/BooksInCareOfDetail/BusinessName/BusinessNameLine2Txt,BusinessNameLine2Type
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/AddressLine1,StreetAddressType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/AddressLine1Txt,StreetAddressType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/AddressLine2,StreetAddressType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/AddressLine2Txt,StreetAddressType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/City,TextType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/CityNm,TextType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/Country,CountryType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/CountryCd,CountryType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/ForeignPostalCd,TextType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/PostalCode,TextType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/ProvinceOrState,TextType
/Return/ReturnData/IRS990/BooksInCareOfDetail/ForeignAddress/ProvinceOrStateNm,TextType
/Return/ReturnData/IRS990/BooksInCareOfDetail/PersonNm,PersonNameType
/Return/ReturnData/IRS990/BooksInCareOfDetail/PhoneNum,PhoneNumberType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/AddressLine1,StreetAddressType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/AddressLine1Txt,StreetAddressType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/AddressLine2,StreetAddressType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/AddressLine2Txt,StreetAddressType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/City,CityType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/CityNm,CityType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/State,StateType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/StateAbbreviationCd,StateType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/ZIPCd,ZIPCodeType
/Return/ReturnData/IRS990/BooksInCareOfDetail/USAddress/ZIPCode,ZIPCodeType
/Return/ReturnData/IRS990/BsnssRltnshpThruFamilyMember,BooleanType
/Return/ReturnData/IRS990/BsnssRltnshpWithOrganization,BooleanType
/Return/ReturnData/IRS990/BusinessRlnWithFamMemInd,BooleanType
/Return/ReturnData/IRS990/BusinessRlnWithOfficerEntInd,BooleanType
/Return/ReturnData/IRS990/BusinessRlnWithOrgMemInd,BooleanType
/Return/ReturnData/IRS990/CapitalStockTrustPrincipalEtc/BOY,USAmountType
/Return/ReturnData/IRS990/CapitalStockTrustPrincipalEtc/EOY,USAmountType
/Return/ReturnData/IRS990/CapStckTrstPrinCurrentFunds/BOY,USAmountType
/Return/ReturnData/IRS990/CapStckTrstPrinCurrentFunds/EOY,USAmountType
/Return/ReturnData/IRS990/CapStkTrPrinCurrentFundsGrp/BOYAmt,USAmountType
/Return/ReturnData/IRS990/CapStkTrPrinCurrentFundsGrp/EOYAmt,USAmountType
/Return/ReturnData/IRS990/CashNonInterestBearing/BOY,USAmountType
/Return/ReturnData/IRS990/CashNonInterestBearing/EOY,USAmountType
/Return/ReturnData/IRS990/CashNonInterestBearingGrp/BOYAmt,USAmountType
/Return/ReturnData/IRS990/CashNonInterestBearingGrp/EOYAmt,USAmountType
/Return/ReturnData/IRS990/ChangesToOrganizingDocs,BooleanType
/Return/ReturnData/IRS990/ChangeToOrgDocumentsInd,BooleanType
/Return/ReturnData/IRS990/CntrbtnsRprtdFundraisingEvents,USAmountType
/Return/ReturnData/IRS990/CntrctRcvdGreaterThan100KCnt,CountType
/Return/ReturnData/IRS990/CollectionsOfArt,BooleanType
/Return/ReturnData/IRS990/CollectionsOfArtInd,BooleanType
/Return/ReturnData/IRS990/CompCurrentOfcrDirectorsGrp/FundraisingAmt,USAmountType
/Return/ReturnData/IRS990/CompCurrentOfcrDirectorsGrp/ManagementAndGeneralAmt,USAmountType
/Return/ReturnData/IRS990/CompCurrentOfcrDirectorsGrp/ProgramServicesAmt,USAmountType
/Return/ReturnData/IRS990/CompCurrentOfcrDirectorsGrp/TotalAmt,USAmountType
/Return/ReturnData/IRS990/CompCurrentOfficersDirectors/Fundraising,USAmountType
/Return/ReturnData/IRS990/CompCurrentOfficersDirectors/ManagementAndGeneral,USAmountType
/Return/ReturnData/IRS990/CompCurrentOfficersDirectors/ProgramServices,USAmountType
/Return/ReturnData/IRS990/CompCurrentOfficersDirectors/Total,USAmountType
/Return/ReturnData/IRS990/CompDisqualPersons/Fundraising,USAmountType
/Return/ReturnData/IRS990/CompDisqualPersons/ManagementAndGeneral,USAmountType
/Return/ReturnData/IRS990/CompDisqualPersons/ProgramServices,USAmountType
/Return/ReturnData/IRS990/CompDisqualPersons/Total,USAmountType
/Return/ReturnData/IRS990/CompDisqualPersonsGrp/FundraisingAmt,USAmountType
/Return/ReturnData/IRS990/CompDisqualPersonsGrp/ManagementAndGeneralAmt,USAmountType
/Return/ReturnData/IRS990/CompDisqualPersonsGrp/ProgramServicesAmt,USAmountType
/Return/ReturnData/IRS990/CompDisqualPersonsGrp/TotalAmt,USAmountType
/Return/ReturnData/IRS990/CompensationFromOtherSources,BooleanType
/Return/ReturnData/IRS990/CompensationFromOtherSrcsInd,BooleanType
/Return/ReturnData/IRS990/CompensationFromRelatedOrg,BooleanType
/Return/ReturnData/IRS990/CompensationProcessCEO,BooleanType
/Return/ReturnData/IRS990/CompensationProcessCEOInd,BooleanType
/Return/ReturnData/IRS990/CompensationProcessOther,BooleanType
/Return/ReturnData/IRS990/CompensationProcessOtherInd,BooleanType
/Return/ReturnData/IRS990/CompFormerOfficersDirectors/Fundraising,USAmountNNType
/Return/ReturnData/IRS990/CompFormerOfficersDirectors/ManagementAndGeneral,USAmountNNType
/Return/ReturnData/IRS990/CompFormerOfficersDirectors/ProgramServices,USAmountNNType
/Return/ReturnData/IRS990/CompFormerOfficersDirectors/Total,USAmountNNType
/Return/ReturnData/IRS990/ComplianceWithBackupWitholding,BooleanType
/Return/ReturnData/IRS990/ConferencesConventionsMeetings/Fundraising,USAmountNNType
/Return/ReturnData/IRS990/ConferencesConventionsMeetings/ManagementAndGeneral,USAmountNNType
/Return/ReturnData/IRS990/ConferencesConventionsMeetings/ProgramServices,USAmountNNType
/Return/ReturnData/IRS990/ConferencesConventionsMeetings/Total,USAmountNNType
/Return/ReturnData/IRS990/ConferencesMeetings/Fundraising,USAmountType
/Return/ReturnData/IRS990/ConferencesMeetings/ManagementAndGeneral,USAmountType
/Return/ReturnData/IRS990/ConferencesMeetings/ProgramServices,USAmountType
/Return/ReturnData/IRS990/ConferencesMeetings/Total,USAmountType
/Return/ReturnData/IRS990/ConferencesMeetingsGrp/FundraisingAmt,USAmountType
/Return/ReturnData/IRS990/ConferencesMeetingsGrp/ManagementAndGeneralAmt,USAmountType
/Return/ReturnData/IRS990/ConferencesMeetingsGrp/ProgramServicesAmt,USAmountType
/Return/ReturnData/IRS990/ConferencesMeetingsGrp/TotalAmt,USAmountType
/Return/ReturnData/IRS990/ConflictOfInterestPolicy,BooleanType
/Return/ReturnData/IRS990/ConflictOfInterestPolicyInd,BooleanType
/Return/ReturnData/IRS990/ConservationEasements,BooleanType
/Return/ReturnData/IRS990/ConservationEasementsInd,BooleanType
/Return/ReturnData/IRS990/ConsolidatedAuditFinancialStmt,BooleanType
/Return/ReturnData/IRS990/ConsolidatedAuditFinclStmtInd,BooleanType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressForeign/AddressLine1,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressForeign/AddressLine2,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressForeign/City,TextType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressForeign/Country,CountryType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressForeign/PostalCode,TextType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressForeign/ProvinceOrState,TextType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressUS/AddressLine1,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressUS/AddressLine2,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressUS/City,CityType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressUS/State,StateType
/Return/ReturnData/IRS990/ContractorCompensation/AddressOfContractor/AddressUS/ZIPCode,ZIPCodeType
/Return/ReturnData/IRS990/ContractorCompensation/Compensation,USAmountType
/Return/ReturnData/IRS990/ContractorCompensation/DescriptionOfServices,LineExplanationType
/Return/ReturnData/IRS990/ContractorCompensation/NameOfContractor/NameBusiness/BusinessNameLine1,BusinessNameLine1Type
/Return/ReturnData/IRS990/ContractorCompensation/NameOfContractor/NameBusiness/BusinessNameLine2,BusinessNameLine2Type
/Return/ReturnData/IRS990/ContractorCompensation/NameOfContractor/NamePerson,PersonNameType
/Return/ReturnData/IRS990/ContractorCompensationGrp/CompensationAmt,USAmountType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine1,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine1Txt,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine2,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine2Txt,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/City,TextType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/CityNm,TextType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/Country,CountryType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/CountryCd,CountryType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/ForeignPostalCd,TextType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/PostalCode,TextType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/ProvinceOrState,TextType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/ProvinceOrStateNm,TextType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine1,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine1Txt,StreetAddressType
/Return/ReturnData/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine2,StreetAddressType
